trial,fold,best_epoch,val_mean_euclidean_mm,val_max_euclidean_mm,val_std_euclidean_mm,precision,recall,f1,hp::train.learning_rate,hp::train.batch_size,hp::model.feature_size,hp::model.drop_rate,hp::augment.flip_prob,hp::augment.rotate90_prob,hp::augment.zoom_prob,hp::metrics.pred_threshold
1,1,5,0.3058227193289064,1.0416437634815465,0.18315296875046183,1.0,0.05667447306791569,0.10726950354609929,0.0005514718587869892,4,48,0.17959754525911098,0.29361118426546196,0.2935967122017216,0.23485016730091968,0.6098528437324806
1,2,6,0.3384518399513107,2.2727616087042652,0.28072709719345074,1.0,0.0995875073659399,0.18113612004287247,0.0005514718587869892,4,48,0.17959754525911098,0.29361118426546196,0.2935967122017216,0.23485016730091968,0.6098528437324806
1,3,4,0.22790025694032698,0.7941101434939614,0.17075401092868958,1.0,0.009183274716686205,0.018199419167473377,0.0005514718587869892,4,48,0.17959754525911098,0.29361118426546196,0.2935967122017216,0.23485016730091968,0.6098528437324806
1,4,8,0.3479988818824735,1.4445,0.2579952308564157,1.0,0.13489677290038085,0.23772518544683857,0.0005514718587869892,4,48,0.17959754525911098,0.29361118426546196,0.2935967122017216,0.23485016730091968,0.6098528437324806
1,5,5,0.2937993961451867,0.9084923830170508,0.18920873347899048,1.0,0.04645105274582158,0.08877826177141673,0.0005514718587869892,4,48,0.17959754525911098,0.29361118426546196,0.2935967122017216,0.23485016730091968,0.6098528437324806
2,1,9,1.0840296678416486,22.174316618331215,2.2195250172614736,0.8677488025545503,0.7637002341920375,0.8124065769805681,0.001018582256686764,3,24,0.29097295564859826,0.6994655844802531,0.3274034664069657,0.3090949803242604,0.40502135295603015
2,2,19,1.1558379105211545,18.720878517847392,2.2714254987977065,0.8871083472853384,0.7285405617756826,0.8000431406384815,0.001018582256686764,3,24,0.29097295564859826,0.6994655844802531,0.3274034664069657,0.3090949803242604,0.40502135295603015
2,3,12,0.8435030726487136,14.804539488278586,1.6966558207092217,0.9400819930621255,0.5824540836264166,0.7192664977681265,0.001018582256686764,3,24,0.29097295564859826,0.6994655844802531,0.3274034664069657,0.3090949803242604,0.40502135295603015
2,4,15,1.0588289958707406,26.81086084556033,1.9545627149253206,0.90175,0.7229905792744037,0.8025364334186229,0.001018582256686764,3,24,0.29097295564859826,0.6994655844802531,0.3274034664069657,0.3090949803242604,0.40502135295603015
2,5,14,0.9094837532556584,20.13245874551839,1.7954459919068926,0.9358825801467748,0.5259387887996527,0.6734296831573096,0.001018582256686764,3,24,0.29097295564859826,0.6994655844802531,0.3274034664069657,0.3090949803242604,0.40502135295603015
3,1,8,0.7393893240357746,20.333899494440313,1.539556450574831,0.9535527529990772,0.7259953161592506,0.8243584629703498,0.00045587590475301384,3,36,0.08736874205941257,0.5671117368334277,0.2836963163912251,0.3752867891211309,0.4599085529881075
3,2,13,0.9585090979637363,19.61165518409907,1.8690187019114062,0.9126542463101863,0.7409153407974858,0.8178664353859497,0.00045587590475301384,3,36,0.08736874205941257,0.5671117368334277,0.2836963163912251,0.3752867891211309,0.4599085529881075
3,3,7,0.7009350670385359,21.501657321471757,1.3723791110184986,0.9528556034482759,0.6910902696365768,0.801132502831257,0.00045587590475301384,3,36,0.08736874205941257,0.5671117368334277,0.2836963163912251,0.3752867891211309,0.4599085529881075
3,4,9,0.8746317795202776,27.401538475968824,1.6059076344814325,0.9256582343830666,0.7187813189015835,0.8092068148482455,0.00045587590475301384,3,36,0.08736874205941257,0.5671117368334277,0.2836963163912251,0.3752867891211309,0.4599085529881075
3,5,6,1.067873386437668,28.41959681575374,2.1146841254675572,0.9104836287173326,0.6579118732363795,0.7638608870967741,0.00045587590475301384,3,36,0.08736874205941257,0.5671117368334277,0.2836963163912251,0.3752867891211309,0.4599085529881075
4,1,13,0.9268938973309725,20.92969232549776,1.9312597886475449,0.9157685762904141,0.7562060889929743,0.8283735248845562,0.0006877172495876584,4,24,0.15427033152408348,0.5554487413172255,0.22787024763199865,0.5645269111408631,0.40115723710618745
4,2,18,1.3491444773950132,20.875787749687436,2.453340715558537,0.8104601662274478,0.7853074052249067,0.7976855546687949,0.0006877172495876584,4,24,0.15427033152408348,0.5554487413172255,0.22787024763199865,0.5645269111408631,0.40115723710618745
4,3,11,0.9616869898995671,26.3117612403655,2.189334501639379,0.9023463687150838,0.7889800703399765,0.8418638590639007,0.0006877172495876584,4,24,0.15427033152408348,0.5554487413172255,0.22787024763199865,0.5645269111408631,0.40115723710618745
4,4,13,1.086753977116947,18.045396938277637,1.8659877284061108,0.8841698841698842,0.7803166967328122,0.8290034071550256,0.0006877172495876584,4,24,0.15427033152408348,0.5554487413172255,0.22787024763199865,0.5645269111408631,0.40115723710618745
4,5,3,1.5354189357574966,26.20793486427345,2.868931454461736,0.8329652125897294,0.6548730193184285,0.7332604204642119,0.0006877172495876584,4,24,0.15427033152408348,0.5554487413172255,0.22787024763199865,0.5645269111408631,0.40115723710618745
5,1,14,0.6471967356636265,24.223613707702654,1.3920197076532337,0.9733759318423855,0.6421545667447307,0.7738112036122479,0.0002385264834812574,4,48,0.24251920443493832,0.38276826150402243,0.25860326840383036,0.6105398159072942,0.4820457481218804
5,2,6,0.7626269281735045,15.052709648764239,1.3892834909896665,0.9442986293379995,0.6360243567079159,0.760093896713615,0.0002385264834812574,4,48,0.24251920443493832,0.38276826150402243,0.25860326840383036,0.6105398159072942,0.4820457481218804
