trial,cv_mean_f1,cv_mean_ed_mm,hp::train.learning_rate,hp::train.batch_size,hp::model.feature_size,hp::model.drop_rate,hp::augment.flip_prob,hp::augment.rotate90_prob,hp::augment.zoom_prob,hp::metrics.pred_threshold
1,0.12662169799494008,0.3027946188496409,0.0005514718587869892,4,48,0.17959754525911098,0.29361118426546196,0.2935967122017216,0.23485016730091968,0.6098528437324806
2,0.7615364663926216,1.0103366800275833,0.001018582256686764,3,24,0.29097295564859826,0.6994655844802531,0.3274034664069657,0.3090949803242604,0.40502135295603015
3,0.8032850206265152,0.8682677309991984,0.00045587590475301384,3,36,0.08736874205941257,0.5671117368334277,0.2836963163912251,0.3752867891211309,0.4599085529881075
4,0.806037353247298,1.171979655499999,0.0006877172495876584,4,24,0.15427033152408348,0.5554487413172255,0.22787024763199865,0.5645269111408631,0.40115723710618745
5,0.6968165643613126,0.6691028213199333,0.0002385264834812574,4,48,0.24251920443493832,0.38276826150402243,0.25860326840383036,0.6105398159072942,0.4820457481218804
6,0.5429405186822724,0.6048488782338877,0.00027832876780755863,2,24,0.2727961206236346,0.3552679889600102,0.5975133706123892,0.38702664565364664,0.5060204063533432
7,0.13297583125360246,0.3397026723017969,0.00087904513849726,1,48,0.23253984700833435,0.7636993649385135,0.7368964102565894,0.5587399872866512,0.6265622705069351
8,0.7951497915397028,0.8500939873527802,0.0002541588599842733,1,24,0.0975990992289793,0.43320637381368926,0.3628094190643376,0.6972425054911577,0.45702599800807675
